,field_name,form_name,field_type,field_label,parent,branching_logic
1655,lesion_mouth_stat,daily,checkbox,Inside mouth lesion status,lesion,[lesion_mouth]='1'
1656,lesion_mouth_stat___Causing pain,daily,binary,Causing pain,lesion_mouth_stat,[lesion_mouth]='1'
1657,lesion_mouth_stat___Bleeding or Discharge,daily,binary,Bleeding or Discharge,lesion_mouth_stat,[lesion_mouth]='1'
1658,lesion_mouth_stat___Ulceration,daily,binary,Ulceration,lesion_mouth_stat,[lesion_mouth]='1'
1659,lesion_vagin,daily,binary,Are there any lesions in the vaginal canal?,lesion,[lesion_mucos]='1'
1660,lesion_vagin_stat,daily,checkbox,Vaginal canal lesion status,lesion,[lesion_vagin]='1'
1661,lesion_vagin_stat___Causing pain,daily,binary,Causing pain,lesion_vagin_stat,[lesion_vagin]='1'
1662,lesion_vagin_stat___Bleeding or Discharge,daily,binary,Bleeding or Discharge,lesion_vagin_stat,[lesion_vagin]='1'
1663,lesion_vagin_stat___Ulceration,daily,binary,Ulceration,lesion_vagin_stat,[lesion_vagin]='1'
1664,lesion_rectum,daily,binary,Are there any lesions in the rectum?,lesion,[lesion_mucos]='1'
1665,lesion_rectum_stat,daily,checkbox,Rectal lesion status,lesion,[lesion_rectum]='1'
1666,lesion_rectum_stat___Causing pain,daily,binary,Causing pain,lesion_rectum_stat,[lesion_rectum]='1'
1667,lesion_rectum_stat___Bleeding or Discharge,daily,binary,Bleeding or Discharge,lesion_rectum_stat,[lesion_rectum]='1'
1668,lesion_rectum_stat___Ulceration,daily,binary,Ulceration,lesion_rectum_stat,[lesion_rectum]='1'
1669,lesion_rectum_stat___Tenesmus,daily,binary,Tenesmus,lesion_rectum_stat,[lesion_rectum]='1'
1670,lesion_anorec,daily,binary,Ano-rectitis,lesion,[lesion_rectum]='1'
1671,lesion_penis,daily,binary,Are there any lesions on the penis?,lesion,[lesion_mucos]='1'
1672,lesion_penis_stat,daily,checkbox,Penile lesion status,lesion,[lesion_penis]='1'
1673,lesion_penis_stat___Causing pain,daily,binary,Causing pain,lesion_penis_stat,[lesion_penis]='1'
1674,lesion_penis_stat___Bleeding or Discharge,daily,binary,Bleeding or Discharge,lesion_penis_stat,[lesion_penis]='1'
1675,lesion_penis_stat___Ulceration,daily,binary,Ulceration,lesion_penis_stat,[lesion_penis]='1'
1676,lesion_othsite,daily,binary,Other site(s),lesion,[lesion_mucos]='1'
1677,lesion_othsite_spec,daily,freetext,Specify other site(s),lesion,[lesion_othsite]='1'
1678,lesion_othstat,daily,checkbox,Other site(s) lesion status,lesion,[lesion_othsite]='1'
1679,lesion_othstat___Causing pain,daily,binary,Causing pain,lesion_othstat,[lesion_othsite]='1'
1680,lesion_othstat___Bleeding or Discharge,daily,binary,Bleeding or Discharge,lesion_othstat,[lesion_othsite]='1'
1681,lesion_othstat___Ulceration,daily,binary,Ulceration,lesion_othstat,[lesion_othsite]='1'
1682,lesion_24hr,daily,binary,Have new skin or mucosal lesions appeared in the previous 24 hours? (may be best assessed by patients),lesion,[lesion_dailydata]='1'
1683,lesion_sl,daily,categorical,Estimated total number of skin lesions on the body,lesion,[lesion_dailydata]='1'
1684,lesion_sl___None,daily,binary,None,lesion_sl,[lesion_dailydata]='1'
1685,lesion_sl___1,daily,binary,1,lesion_sl,[lesion_dailydata]='1'
1686,lesion_sl___2-5,daily,binary,2-5,lesion_sl,[lesion_dailydata]='1'
1687,lesion_sl___6-9,daily,binary,6-9,lesion_sl,[lesion_dailydata]='1'
1688,lesion_sl___10-24,daily,binary,10-24,lesion_sl,[lesion_dailydata]='1'
1689,lesion_sl___25-49,daily,binary,25-49,lesion_sl,[lesion_dailydata]='1'
1690,lesion_sl___50-99,daily,binary,50-99,lesion_sl,[lesion_dailydata]='1'
1691,lesion_sl___100-250,daily,binary,100-250,lesion_sl,[lesion_dailydata]='1'
1692,lesion_sl___251-1000,daily,binary,251-1000,lesion_sl,[lesion_dailydata]='1'
1693,lesion_sl___>1000,daily,binary,>1000,lesion_sl,[lesion_dailydata]='1'
1694,lesion_ml,daily,categorical,Estimated total number of mucosal lesions on the body,lesion,[lesion_dailydata]='1'
